time,open,high,low,close,volume,symbol,target_date
2026-09-07 07:00:00,7.28,7.38,7.28,7.38,22900,BTP,2026-09-07
2026-09-07 07:00:00,4.8,4.8,4.7,4.7,1800,BTS,2026-09-07
2026-09-07 07:00:00,10.7,13.6,10.7,13.6,400,BVL,2026-09-07
2026-09-07 07:00:00,28.8,29.0,27.8,27.9,1213600,BVS,2026-09-07
2026-09-07 07:00:00,16.5,16.5,16.5,16.5,600,CCI,2026-09-07
2026-09-07 07:00:00,25.4,25.5,25.4,25.5,1300,CDN,2026-09-07
2026-09-07 07:00:00,10.9,10.9,10.9,10.9,500,CDP,2026-09-07
2026-09-07 07:00:00,9.2,9.3,9.0,9.3,500,CIA,2026-09-07
2026-09-07 07:00:00,7.4,7.4,7.2,7.2,2400,CID,2026-09-07
2026-09-07 07:00:00,20.0,20.5,18.1,20.0,1300,CKD,2026-09-07
2026-09-07 07:00:00,27.5,27.6,27.3,27.5,56500,CLI,2026-09-07
2026-09-07 07:00:00,13.0,13.0,13.0,13.0,5400,CLX,2026-09-07
2026-09-07 07:00:00,17.0,17.0,16.5,17.0,1200,CMN,2026-09-07
2026-09-07 07:00:00,29.8,30.0,29.8,29.9,22200,CQN,2026-09-07
2026-09-07 07:00:00,7.2,7.2,6.9,6.9,500,CQT,2026-09-07
2026-09-07 07:00:00,6.55,6.55,6.4,6.4,340400,CRE,2026-09-07
2026-09-07 07:00:00,9.5,9.8,9.5,9.8,9600,CSC,2026-09-07
2026-09-07 07:00:00,13.4,13.4,12.95,13.2,159200,CSM,2026-09-07
2026-09-07 07:00:00,10.2,10.3,9.9,10.3,5100,CST,2026-09-07
2026-09-07 07:00:00,22.0,22.05,21.2,21.2,419600,CSV,2026-09-07
2026-09-07 07:00:00,31.5,31.55,30.8,30.8,7153800,CTG,2026-09-07
2026-09-07 07:00:00,16.95,16.95,16.75,16.75,134400,CTI,2026-09-07
2026-09-07 07:00:00,6.7,6.7,6.3,6.7,162700,CTP,2026-09-07
2026-09-07 07:00:00,75.6,75.9,74.0,74.0,263200,CTR,2026-09-07
2026-09-07 07:00:00,4.8,5.1,4.8,5.1,3300,CTX,2026-09-07
2026-09-07 07:00:00,28.9,29.4,28.65,29.25,52200,D2D,2026-09-07
2026-09-07 07:00:00,7.93,7.94,7.93,7.94,300,DAT,2026-09-07
2026-09-07 07:00:00,17.0,17.0,16.7,16.95,982300,DBC,2026-09-07
2026-09-07 07:00:00,47.2,47.4,47.05,47.1,13200,DBD,2026-09-07
2026-09-07 07:00:00,38.6,38.7,37.95,38.3,356900,DCL,2026-09-07
2026-09-07 07:00:00,47.65,47.95,47.0,47.0,1631300,DGC,2026-09-07
2026-09-07 07:00:00,40.7,42.2,40.05,41.8,2541800,DGW,2026-09-07
2026-09-07 07:00:00,51.8,51.8,51.2,51.5,7500,DHA,2026-09-07
2026-09-07 07:00:00,11.1,11.1,10.8,11.0,56700,DHB,2026-09-07
2026-09-07 07:00:00,26.5,27.0,26.5,26.5,2300,DHD,2026-09-07
2026-09-07 07:00:00,6.8,6.8,6.65,6.65,7000,DHM,2026-09-07
